Año,Mes,Fecha y hora,Dia de la semana,Comuna/Corregimiento,Area del Hecho,Clase de Area Hecho,Genero,Edad,Mecanismo Muerte,Evento relacionado con el hecho
2012,1,2012-01-01T01:15:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma Blanca,Violencia instrumental
2012,1,2012-01-07T23:20:00.000,sábado,4,Zona urbana,Bar o similares,Masculino,21,Arma Blanca,Violencia impulsiva o expresiva
2012,1,2012-01-07T00:30:00.000,sábado,7,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,1,2012-01-11T12:00:00.000,miércoles,8,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma de Fuego,Violencia impulsiva o expresiva
2012,1,2012-01-13T20:15:00.000,viernes,6,Zona urbana,Espacio o Vía Pública,Masculino,29,Arma de Fuego,Violencia impulsiva o expresiva
2012,1,2012-01-14T20:10:00.000,sábado,1,Zona urbana,Espacio o Vía Pública,Femenino,15,En estudio,Violencia instrumental
2012,1,2012-01-14T21:00:00.000,sábado,2,Zona urbana,Espacio o Vía Pública,Masculino,18,Arma Blanca,Violencia instrumental
2012,1,2012-01-16T11:50:00.000,lunes,2,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia instrumental
2012,1,2012-01-16T20:30:00.000,lunes,10,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma Blanca,Desconocido / Por Establecer
2012,1,2012-01-25T19:00:00.000,miércoles,7,Zona urbana,Espacio o Vía Pública,Masculino,20,Arma de Fuego,Violencia instrumental
2012,2,2012-02-11T12:00:00.000,sábado,10,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma de Fuego,Violencia instrumental
2012,2,2012-02-11T12:00:00.000,sábado,10,Zona urbana,Espacio o Vía Pública,Masculino,47,Arma de Fuego,Violencia instrumental
2012,2,2012-02-12T23:00:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-14T14:00:00.000,martes,Aipecito,Zona Rural,Trocha,Masculino,21,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-16T13:30:00.000,jueves,6,Zona urbana,Espacio o Vía Pública,Masculino,24,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-18T19:30:00.000,sábado,8,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-19T21:30:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,21,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-19T07:00:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,26,Arma de Fuego,Violencia impulsiva o expresiva
2012,2,2012-02-27T23:34:00.000,lunes,9,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma Blanca,Violencia impulsiva o expresiva
2012,3,2012-03-08T17:05:00.000,jueves,8,Zona urbana,Espacio o Vía Pública,Masculino,76,Arma Contundente,Violencia impulsiva o expresiva
2012,3,2012-03-17T21:00:00.000,sábado,5,Zona urbana,Espacio o Vía Pública,Masculino,21,Arma de Fuego,Violencia impulsiva o expresiva
2012,3,2012-03-28T18:00:00.000,miércoles,8,Zona urbana,Espacio o Vía Pública,Masculino,36,Arma de Fuego,Violencia impulsiva o expresiva
2012,4,2012-04-05T04:50:00.000,jueves,9,Zona urbana,Vivienda,Masculino,59,Arma Blanca,Violencia impulsiva o expresiva
